name,long,lat,id,label
Dunkin Donuts Bronx NY 1... (sample),-73.898118,40.890084,1261,Dunkin Donuts Bronx NY 1... (sample)
Dunkin Donuts Bronx NY ... (sample),-73.836744,40.843479,1262,Dunkin Donuts Bronx NY ... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.827565,40.852704,1263,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.913033,40.846777,1264,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.906882,40.876559,1265,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.897319,40.844485,1266,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.860043,40.865547,1267,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.899692,40.824303,1268,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.904773,40.812345,1269,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.906877,40.853644,1270,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.883018,40.84868,1271,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY 2... (sample),-73.873607,40.824106,1272,Dunkin Donuts Bronx NY 2... (sample)
Dunkin Donuts Bronx NY ... (sample),-73.836766,40.84347,1273,Dunkin Donuts Bronx NY ... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.890996,40.85402,1274,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.876241,40.829028,1275,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.909738,40.824424,1276,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.84332,40.861874,1277,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.791361,40.855244,1278,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.892185,40.824531,1279,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.920885,40.835627,1280,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.922164,40.804582,1281,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.898798,40.859073,1282,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY 3... (sample),-73.914671,40.838998,1283,Dunkin Donuts Bronx NY 3... (sample)
Dunkin Donuts Bronx NY ... (sample),-73.863395,40.895712,1284,Dunkin Donuts Bronx NY ... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.865653,40.845319,1285,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.894088,40.86244,1286,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.867591,40.857805,1287,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.892221,40.816886,1288,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.910331,40.831021,1289,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.838916,40.840753,1290,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.922565,40.817391,1291,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.879101,40.869858,1292,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.849099,40.890803,1293,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY 4... (sample),-73.886043,40.878552,1294,Dunkin Donuts Bronx NY 4... (sample)
Dunkin Donuts Bronx NY ... (sample),-73.844673,40.846815,1295,Dunkin Donuts Bronx NY ... (sample)
Dunkin Donuts Bronx NY 5... (sample),-73.809617,40.819723,1296,Dunkin Donuts Bronx NY 5... (sample)
Dunkin Donuts Bronx NY 5... (sample),-73.902952,40.859868,1297,Dunkin Donuts Bronx NY 5... (sample)
Dunkin Donuts Bronx NY 5... (sample),-73.827952,40.832692,1298,Dunkin Donuts Bronx NY 5... (sample)
Dunkin Donuts Bronx NY 5... (sample),-73.866714,40.831772,1299,Dunkin Donuts Bronx NY 5... (sample)
Dunkin Donuts Bronx NY 5... (sample),-73.905092,40.879089,1300,Dunkin Donuts Bronx NY 5... (sample)
Dunkin Donuts Bronx NY 5... (sample),-73.846347,40.837054,1301,Dunkin Donuts Bronx NY 5... (sample)
